Station_Code,Station_Name,lat,lon
5843,速星,36.66390957766166,137.16029508719834
6011,京都貨物,34.98434220770223,135.7407680940203
6017,吹田貨物ターミナル,34.78991522637777,135.54995955989278
6020,大阪貨物ターミナル,34.776305934808335,135.57079178979197
6032,神戸貨物ターミナル,34.651867193155,135.13527813324973
6049,姫路貨物,34.805177457210554,134.75335834745778
6131,安治川口,34.67325917923555,135.44358487695638
6215,百済貨物ターミナル,34.6346539439828,135.543578350235
6444,和歌山新営業所,34.2488434469672,135.276638067841
6505,福知山オフレールステーション,35.2877469726407,135.152058941164
6609,湖山オフレールステーション,35.510647768908335,134.19309461446082
6616,伯耆大山,35.43008669748278,133.38399885203833
6624,東松江新営業所,35.44535837828,133.12846381522445
6708,岡山貨物ターミナル,34.656011729730004,133.89371438648305
